"success","trial_type","trial_index","time_elapsed","internal_node_id","player","subject_id","view_history","rt","response","question_order","trial_3d_dot_array","choices","response_ends_trial","aperture_width","aperture_height","background_color","aperture_center_x","aperture_center_y","border","border_thickness","border_color","canvas_width","canvas_height","trial_duration","RDK_type","no_response","rdm_trial_count","correct","correct_choice","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","dot_color","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","stimulus"
"true","fullscreen","0","5120","0.0-0.0","S","5ss2qgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","8812","0.0-1.0","S","5ss2qgb","[{""page_index"":0,""viewing_time"":3690}]","3690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","11161","0.0-2.0-0.0","S","5ss2qgb","","2347","{""Q0"":""s""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12277","0.0-2.0-1.0","S","5ss2qgb","","1113","{""confirmInitials"":""Confirm""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
